utla.name,utla.ph.alloc.1314,utla.ph.alloc.1415
Buckinghamshire,15681232.09,17249355.3
Cambridgeshire,21230466.44,22298665.07
Cumbria,14176175.4,15593792.94
Derbyshire,34680251.22,35651298.26
Devon,20747876.41,22060180.91
East Sussex,23839204.29,24506702.01
Essex,48873575.98,50242036.1
Gloucestershire,21125843.92,21793337.62
Hampshire,36752863.84,40428150.23
Hertfordshire,34219706.68,37641677.35
Kent,49842863.49,54827149.84
Lancashire,57991279.8,59800693.42
Leicestershire,20206452.66,21862574.9
Lincolnshire,27542424.61,28505898.91
Norfolk,29798326.89,30632680.05
North Yorkshire,19020674.65,19732462.61
Northamptonshire,26839250.95,29523176.04
Nottinghamshire,35135252.35,36119039.41
Oxfordshire,25263863.55,26085601.37
Somerset,14102982.63,15513280.89
Staffordshire,32321868.21,33312600.6
Suffolk,25572497.04,26288526.96
Surrey,23237413.97,25561155.36
Warwickshire,21216342.75,21810400.35
West Sussex,26697790.29,27445328.42
Worcestershire,25805724.97,26528285.27
